CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,display_phone,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE,Latitude,Longitude,#_of_inspections,count_range,name,price,rating,review_count,transactions,neighborhood,categories_clean,latitude,longitude,address,city,zip_code,state,delivery,pickup,restaurant_reservation,asianfusion,bagels,bakeries,barbers,bars,chinese,comedyclubs,comfortfood,convenience,pizza,poke,seafood,seafoodmarkets,shanghainese,taiwanese,thai,tea,teppanyaki,ramen
41322152,1 2 3 BURGER SHOT BEER,Manhattan,738,10 AVENUE,10019,(212) 315-0123,American,12/20/2019,Violations were cited in the following area(s).,N,12,A,12/20/2019,Cycle Inspection / Initial Inspection,40.76489188,-73.99161761,9,10-Jun,123 Burger Shot Beer,$,3,1000,"['delivery', 'pickup']",Hell's Kitchen,"['sportsbars', 'tradamerican', 'chicken_wings']",40.764828,-73.9914,738 10th Ave,New York,10019,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41430594,1 STOP PATTY SHOP,Manhattan,1708,AMSTERDAM AVENUE,10031,(212) 491-7466,Bakery,3/27/2019,Violations were cited in the following area(s).,N,10,A,3/27/2019,Cycle Inspection / Initial Inspection,40.8248696,-73.94787883,20,20-Nov,One Stop Patty Shop,$,4,40,[],Harlem,"['caribbean', 'breakfast_brunch']",40.82498,-73.94802,1708 Amsterdam Ave,New York,10031,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50059935,108 FOOD DRIED HOT POT,Manhattan,2794,BROADWAY,10025,(917) 675-6878,Chinese,5/23/2019,Violations were cited in the following area(s).,Y,7,A,5/23/2019,Cycle Inspection / Initial Inspection,40.80276521,-73.96763605,8,10-Jun,108 Food Dried Hot Pot,$$,3.5,139,"['delivery', 'pickup']",East Harlem,"['hotpot', 'chinese']",40.80271,-73.96738,2794 Broadway,New York,10025,NY,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41092609,10TH AVENUE COOKSHOP,Manhattan,156,10 AVENUE,10011,(212) 924-4440,American,4/11/2019,Violations were cited in the following area(s).,Y,8,A,4/11/2019,Cycle Inspection / Initial Inspection,40.74564579,-74.00563716,25,21-30,Cookshop,$$,4,1000,"['pickup', 'delivery']",Midtown West,"['newamerican', 'breakfast_brunch', 'wine_bars']",40.7454251,-74.0056084,156 10th Ave,New York,10011,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50057272,11 HANOVER GREEK,Manhattan,11,HANOVER SQ,10005,(212) 785-4000,Greek,2/28/2019,Violations were cited in the following area(s).,Y,12,A,2/28/2019,Cycle Inspection / Initial Inspection,40.70536342,-74.00851554,22,21-30,11 Hanover Greek,$$$,4,122,"['delivery', 'pickup']",Tribeca,"['greek', 'seafood', 'wine_bars']",40.705264,-74.008854,11 Hanover Sq,New York,10005,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50041601,118 KITCHEN,Manhattan,1,EAST  118 STREET,10035,(212) 722-6888,Tex-Mex,5/9/2019,Violations were cited in the following area(s).,N,11,A,5/9/2019,Cycle Inspection / Initial Inspection,40.80187017,-73.94526014,13,20-Nov,118 Kitchen,$,4,42,"['delivery', 'pickup']",East Harlem,"['tex-mex', 'sushi']",40.80195,-73.94517,1 E 118th St,New York,10035,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50088380,123 Burger Shot Beer,Manhattan,712,WEST  125 STREET,10027,(646) 850-0193,American,9/3/2019,Violations were cited in the following area(s).,N,6,A,9/3/2019,Cycle Inspection / Initial Inspection,40.81839165,-73.96077113,5,5-Feb,123BSB,$$,3,43,[],East Harlem,"['sportsbars', 'tradamerican']",40.818157,-73.960842,712 W 125th St,New York,10027,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50067483,15 STORIES,Manhattan,444,PARK AVENUE SOUTH,10016,(212) 804-8880,Mediterranean,1/28/2020,Violations were cited in the following area(s).,N,13,A,1/28/2020,Cycle Inspection / Initial Inspection,40.74469774,-73.98308153,9,10-Jun,Mondrian Terrace,$$,4,39,[],Midtown East,"['lounges', 'cocktailbars', 'tapasmallplates']",40.7448378,-73.9833243,444 Park Ave S,New York,10016,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50096571,16 HANDLES,Manhattan,153,2 AVENUE,10003,(212) 260-4414,"Ice Cream, Gelato, Yogurt, Ices",9/27/2019,Violations were cited in the following area(s).,N,4,A,9/27/2019,Pre-permit (Operational) / Initial Inspection,40.72945658,-73.98705428,2,5-Feb,16 Handles,$,4,664,"['pickup', 'delivery']",Gramercy,"['icecream', 'desserts', 'vegan']",40.72966842,-73.98729667,153 2nd Ave,New York,10003,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50002454,1803,Manhattan,78,READE STREET,10007,(212) 267-3000,American,2/13/2020,Violations were cited in the following area(s).,Y,21,Z,TBD,Cycle Inspection / Initial Inspection,40.71521999,-74.00707028,34,31+,1803,$$,4.5,396,"['delivery', 'pickup']",Greenwich Village,"['cajun', 'seafood', 'bars']",40.715498,-74.007178,82 Reade St,New York,10007,NY,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
